City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max_Temp,Wind_Speed
Lautert,90,DE,1514085600,100,50.17,7.84,46.4,18.34
Xinanbu,0,CN,1514086875,66,28.27,117.59,52.19,7.83
Rankwitz,92,DE,1514086875,87,53.95,13.93,46.39,27.96
La Cochère,90,FR,1514086200,100,48.72,0.15,48.2,3.36
Henrico County,90,US,1514085600,76,37.55,-77.37,62.6,20.8
Hagonoy,75,PH,1514084400,58,14.84,120.73,89.6,3.36
Wackersdorf,90,DE,1514084160,93,49.31,12.18,42.8,13.87
Soissons,88,FR,1514086877,95,49.38,3.32,44.05,8.55
Gobolka Hiiraan,0,SO,1514086878,68,4.0,45.5,69.34,11.45
Chengnan,12,CN,1514086878,17,29.27,88.88,21.1,3.74
Chavinda,36,MX,1514086879,78,20.01,-102.46,54.44,1.61
Lozzolo,0,IT,1514085600,92,45.63,8.32,33.8,3.36
Elkhovo,0,BG,1514086880,72,42.17,26.57,17.86,5.03
Baoan,32,CN,1514086880,72,24.46,102.26,46.84,3.13
Klampok,48,ID,1514086880,80,-7.46,109.44,78.61,3.58
Hubbard,1,US,1514085300,78,42.31,-93.3,17.6,3.36
Trincomalee,76,LK,1514086881,87,8.58,81.23,78.34,5.26
Bathurst,76,AU,1514086820,46,-33.42,149.58,80.77,6.76
Nakajima,75,JP,1514084400,75,37.14,140.36,46.4,5.82
Mornac,90,FR,1514086200,87,45.68,0.27,46.4,3.36
Monte Alto,24,BR,1514086883,90,-21.27,-48.5,69.61,4.81
Krasnovishersk,68,RU,1514086883,82,60.4,57.08,15.83,12.41
Tynec nad Sazavou,20,CZ,1514086200,87,49.83,14.59,44.6,28.86
Zolina,0,ES,1514084400,93,42.77,-1.58,46.4,1.34
Hradek,20,CZ,1514086200,87,49.71,13.65,44.6,28.86
Viana do Alentejo,75,PT,1514084400,93,38.33,-8.0,44.6,6.93
Fienstorf,75,DE,1514085600,87,54.1,12.28,48.2,26.4
Oneop,56,FM,1514086886,100,5.51,153.71,84.37,9.84
Loyola,90,EC,1514084400,83,-3.65,-80.02,75.2,3.36
Mondorf-les-Bains,75,DE,1514086200,100,49.51,6.28,42.8,13.87
Fairmont,90,US,1514085300,100,40.64,-97.59,19.4,8.05
Lianlu,0,CN,1514086888,14,35.02,103.75,31.45,4.29
Breunigweiler,90,DE,1514085600,93,49.57,7.96,46.4,11.41
Pho Si Suwan,0,TH,1514086889,57,15.23,104.08,80.41,20.92
Solis de Mataojo,0,UY,1514084400,59,-34.6,-55.48,62.6,11.41
Gobernador Ingeniero Valentin Virasoro,100,AR,1514086890,98,-28.05,-56.03,71.54,10.67
Normandin,90,CA,1514084400,77,48.84,-72.53,6.8,5.82
Hinterkappelen,75,CH,1514085600,92,46.97,7.38,37.4,3.36
Kharava,92,BY,1514086892,95,52.63,24.58,43.96,32.14
Andreapol,88,RU,1514086892,95,56.65,32.27,34.78,16.93
Castlebaldwin,92,IE,1514086893,97,54.08,-8.38,51.56,21.63
Rethwisch,75,DE,1514085600,93,53.87,9.59,46.4,14.99
Gevelsberg,92,DE,1514085600,81,51.32,7.34,48.2,18.34
Pietrapertosa,0,IT,1514084100,93,40.52,16.06,44.6,9.17
Quintanilla de Onesimo,0,ES,1514086895,76,41.62,-4.36,24.97,4.07
Brodersby,92,DE,1514085600,100,54.54,9.71,48.2,26.4
Tsalapitsa,92,BG,1514086200,56,42.18,24.57,41.0,14.99
Navarrete,20,MX,1514086896,77,21.65,-105.12,68.98,2.24
Summit,1,US,1514085300,86,40.72,-74.36,48.2,12.75
Kohila,75,EE,1514085600,59,59.17,24.75,35.6,21.92
New Castle,90,US,1514085180,86,41.0,-80.35,33.8,3.36
Thil,90,FR,1514086200,86,45.81,5.02,41.0,1.12
Spanish Lookout,56,BZ,1514086898,72,17.24,-89.0,77.39,4.03
Chetouane,0,DZ,1514084400,93,34.92,-1.29,44.6,4.7
Asaka,75,JP,1514084400,49,35.82,139.6,48.2,6.93
Lasel,36,DE,1514085840,100,50.11,6.47,42.8,11.41
Lordelo,0,PT,1514086200,70,41.37,-8.38,48.2,10.29
Perth Amboy,1,US,1514085300,81,40.51,-74.27,48.2,10.29
Kindel,90,DE,1514085600,100,49.97,7.05,42.8,18.34
Ancona,1,US,1514085300,73,41.04,-88.87,23.0,6.93
Osterbruch,75,DE,1514085600,87,53.78,8.94,46.4,23.04
Kunnerwitz,92,DE,1514086902,89,51.12,14.94,39.37,17.67
Wittelshofen,90,DE,1514085600,93,49.06,10.48,44.6,16.11
Dunorlan,90,AU,1514084400,23,-41.48,146.53,64.4,12.75
Rifreddo,0,IT,1514085600,69,44.65,7.35,33.8,4.7
La Leonera,0,CL,1514084400,71,-36.95,-72.92,53.6,11.41
Montemesola,0,IT,1514085300,93,40.56,17.34,53.6,20.8
East Syracuse,90,US,1514084520,100,43.07,-76.08,32.0,5.82
Tamala,76,RU,1514086905,91,52.54,43.26,22.76,8.43
Rio Lindo,75,HN,1514084400,100,15.04,-87.99,75.2,5.82
Bottighofen,90,DE,1514085600,93,47.64,9.21,39.2,3.36
Changxingdian,64,CN,1514086907,38,41.45,121.73,23.66,15.1
Potosi,80,BO,1514086907,86,-19.59,-65.75,35.99,2.01
Barraco,0,ES,1514086908,73,40.48,-4.64,25.15,2.39
Camacha,20,PT,1514086200,72,33.08,-16.33,62.6,3.36
Vega de Santa Maria,8,ES,1514086909,68,40.84,-4.64,28.03,5.08
Gedangan,36,ID,1514086909,66,2.94,99.58,86.39,3.36
Jardin America,92,AR,1514086910,99,-27.04,-55.23,71.23,2.28
Mora,20,PT,1514086911,86,38.94,-8.17,37.75,7.83
Biała Rawska,75,PL,1514086200,87,51.81,20.47,48.2,19.46
Radomysl Wielki,90,PL,1514086200,87,50.2,21.28,46.4,21.92
Armidale Dumaresq,8,AU,1514086912,62,-30.58,151.87,81.76,6.87
Guilhabreu,0,PT,1514086200,70,41.29,-8.64,48.2,10.29
Zhinvali,90,GE,1514084400,75,42.11,44.77,42.8,25.28
Montegrosso Pian Latte,20,IT,1514086200,60,44.07,7.82,50.0,11.41
Lodi,0,IT,1514085600,100,45.31,9.5,35.6,2.24
Thun-Saint-Amand,90,FR,1514086200,87,50.49,3.45,50.0,16.11
Précilhon,90,FR,1514086200,81,43.19,-0.58,44.6,4.7
Fishburn,40,GB,1514083800,81,54.68,-1.44,51.8,16.11
Badou,0,TG,1514086916,79,7.58,0.61,62.5,2.84
Stapel,92,DE,1514085600,93,53.33,7.82,46.4,19.46
Tórtola de Henares,0,ES,1514084400,91,40.71,-3.12,33.8,4.7
Ustersbach,76,DE,1514085600,86,48.32,10.64,41.0,13.87
Ratanpur,0,IN,1514086919,82,23.11,87.07,63.85,5.75
Macatbong,75,PH,1514084400,58,15.5,121.08,87.8,3.36
Simabur,12,ID,1514086920,79,-0.46,100.51,79.19,3.29
Pelapuan,75,ID,1514084400,88,-8.27,114.99,80.6,11.41
Albares,0,ES,1514084400,78,40.31,-3.01,33.8,4.7
Suðurland,88,IS,1514086921,90,64.0,-19.0,26.18,11.86
Københavns Kommune,75,DK,1514085600,81,55.67,12.58,50.0,21.92
Elbingerode,92,DE,1514086922,97,51.66,10.28,42.43,15.1
Kingston,75,CA,1514084400,85,44.23,-76.48,24.8,6.93
Montélimar,0,FR,1514086200,75,44.56,4.75,42.8,8.05
Whiting,90,US,1514085300,92,42.13,-96.15,17.6,3.02
Shishan,64,CN,1514086924,38,41.26,121.51,23.66,15.1
Ottati,0,IT,1514086925,100,40.46,15.32,26.36,1.79
Konigswalde,90,DE,1514084400,93,50.55,13.05,41.0,13.87
Star,90,RU,1514084400,92,53.62,34.15,28.4,17.9
Mazra‘at Muḩammad Aḩmad,64,SY,1514086927,48,34.55,38.32,52.28,9.62
Kahlheckerhof,90,DE,1514085600,93,49.58,7.82,46.4,11.41
Winkwitz,75,DE,1514085600,75,51.18,13.47,48.2,19.46
Ahvāz,0,IR,1514084400,76,31.36,48.75,48.2,2.24
Westpoint,0,LR,1514086929,88,6.33,-10.81,68.98,2.01
Moanda,92,CD,1514086929,94,-5.93,12.38,75.59,3.74
Doroslovo,0,RS,1514086200,81,45.61,19.19,42.8,11.41
Blagoveshchenka,0,RU,1514086930,72,52.83,79.87,8.86,12.46
Cisandaan,0,ID,1514086931,76,-7.4,107.72,76.76,2.8
Streufdorf,88,DE,1514086931,97,50.35,10.68,39.14,12.3
San Martín de la Vega,0,ES,1514084400,85,40.21,-3.58,33.8,4.7
Neutraubling,88,DE,1514085600,81,48.99,12.19,42.8,10.29
Cowie,90,GB,1514085600,93,56.08,-3.87,53.6,28.86
Judeţul Mureş,92,RO,1514086200,98,46.67,24.58,32.0,4.7
Chunlin,0,CN,1514086934,73,34.96,109.68,35.36,3.74
Maloja,0,CH,1514085600,84,46.4,9.7,30.2,2.24
Sars,76,RU,1514086935,80,56.55,57.14,14.93,8.61
Zeqin,0,CN,1514086935,48,25.84,116.02,56.06,10.33
Río Abajo,40,PR,1514084160,74,18.42,-66.39,78.8,13.87
Suluru,20,IN,1514086200,100,13.15,78.04,66.2,6.93
Kockelscheuer,75,LU,1514086200,100,49.56,6.11,42.8,13.87
Sousse,56,TN,1514084400,93,35.83,10.64,51.8,9.17
Wirdum,90,NL,1514085900,93,53.15,5.81,46.4,17.22
Develi,75,TR,1514085600,100,38.39,35.49,32.0,8.05
Turnhout,90,BE,1514085900,87,51.32,4.95,50.0,12.75
Messinghausen,90,DE,1514085600,87,51.39,8.67,48.2,14.99
Shillington,90,GB,1514085600,93,51.99,-0.36,48.2,16.11
Sandoval,1,US,1514085300,82,38.62,-89.11,32.0,6.64
Beenak,0,AU,1514084400,42,-37.9,145.63,66.2,19.46
Sergeac,90,FR,1514086200,100,45.0,1.11,41.0,2.39
DeBary,1,US,1514084280,88,28.88,-81.31,68.0,5.82
Stafford,75,GB,1514085600,93,52.81,-2.12,50.0,9.17
Baisha,80,CN,1514086943,89,19.23,109.45,64.79,5.37
Menangle,24,AU,1514086320,9,-34.13,150.74,105.8,20.8
Obernhof,88,DE,1514085600,93,50.32,7.85,46.4,14.99
Arjasari Tasikmalaya,0,ID,1514086945,76,-7.34,108.09,76.76,2.8
Wangjiaqiao,0,CN,1514086945,75,30.14,111.67,51.16,1.5
Parera,0,AR,1514086946,66,-35.15,-64.5,56.96,1.5
Vieux-Boucau-les-Bains,90,FR,1514086200,87,43.79,-1.4,46.4,3.36
Springfield,1,US,1514083920,92,37.22,-93.29,24.8,5.82
Hornachos,0,ES,1514086947,78,38.56,-6.07,35.63,6.64
Provincia de San José,20,CR,1514084400,68,9.67,-84.0,69.8,13.87
Nueva Gerona,0,CU,1514086949,100,21.88,-82.8,73.3,6.64
Seeboden,0,AT,1514085600,92,46.82,13.52,28.4,8.05
Mändlfeld,80,DE,1514085600,81,48.7,11.43,42.8,10.29
Gosport,88,GB,1514083800,100,50.8,-1.12,46.4,5.82
Haro,75,ES,1514086200,86,42.58,-2.85,41.0,5.82
Caminreal,0,ES,1514084400,93,40.84,-1.32,39.2,2.8
Nehe,56,CN,1514086951,79,48.48,124.88,-1.32,7.94
Amude,0,ET,1514086952,66,8.31,39.09,37.21,4.52
Zhukovo,76,RU,1514086952,83,57.4,83.94,13.31,9.44
Hartville,1,US,1514084160,74,37.25,-92.51,28.4,6.26
Storm Lake,1,US,1514084100,72,42.64,-95.21,14.0,4.7
Kümmersbruck,75,DE,1514085600,81,49.42,11.89,44.6,9.17
Pano Dheftera,20,CY,1514086200,71,35.08,33.26,59.0,17.22
Karlovo,88,BG,1514086200,56,42.64,24.8,41.0,14.99
Banjar Kampungbugis,75,ID,1514084400,88,-8.11,115.09,80.6,11.41
Giemetsberg,75,AT,1514085600,81,48.08,14.98,42.8,19.46
Pedroso,20,CU,1514084100,88,22.73,-82.31,69.8,4.7
Kalenborn-Scheuern,36,DE,1514085840,100,50.26,6.6,48.2,11.41
Krasnaya Zarya,92,RU,1514086958,86,52.78,37.69,23.08,18.57
Loangmaka,75,ID,1514086200,100,-8.71,116.39,77.0,3.36
Clifton,0,AU,1514084400,36,-27.93,151.91,91.4,4.7
Alperiz,0,ES,1514084400,93,42.73,-7.67,42.8,4.7
Geloux,90,FR,1514086200,87,43.98,-0.64,44.6,2.24
Reine,92,DE,1514085600,87,52.05,9.17,48.2,19.46
Miatli,92,RU,1514086961,96,43.08,46.83,30.59,9.95
Gazira,0,TD,1514086962,42,12.18,18.67,63.04,6.87
Dagangshan,0,CN,1514086963,54,27.66,114.59,54.76,9.17
Miaga,56,PH,1514086963,96,12.24,123.82,82.39,12.08
Puerto Natales,24,CL,1514086963,63,-51.73,-72.51,50.17,21.41
Hertenstein,90,CH,1514085600,86,47.49,8.31,37.4,5.82
Breteuil,90,FR,1514086200,100,48.84,0.91,46.4,6.93
Brucken,75,DE,1514085600,87,48.57,9.46,42.8,4.7
Urif,40,PS,1514086320,63,32.16,35.22,62.6,9.17
Texistepeque,0,SV,1514083800,57,14.12,-89.5,75.2,3.36
Saint-Georges-Buttavent,88,FR,1514086966,97,48.31,-0.69,47.11,8.28
Golasecca,0,IT,1514085600,92,45.7,8.66,30.2,3.36
Labastida,75,ES,1514086200,86,42.59,-2.8,41.0,5.82
Xiaxihao,0,CN,1514086968,50,40.32,97.12,14.93,2.84
Gaggenau,88,DE,1514086200,87,48.8,8.32,44.6,13.87
Bruguieres,90,FR,1514086200,65,43.73,1.41,46.4,3.36
Ungersheim,75,FR,1514086200,86,47.88,7.31,41.0,4.7
Fiesso dArtico,0,IT,1514085600,80,45.42,12.03,33.8,2.24
Inveruno,0,IT,1514085600,92,45.51,8.85,35.6,3.36
Xanxere,40,BR,1514084400,94,-26.88,-52.4,71.6,6.93
Patrington,32,GB,1514085600,93,53.68,-0.01,50.0,17.22
Bujalance,0,ES,1514084400,100,37.89,-4.38,37.4,3.29
Dorp Tera Kora,92,BQ,1514084100,78,12.13,-68.27,80.6,16.11
Tupancireta,80,BR,1514086973,98,-29.08,-53.84,69.07,11.07
Espite,0,PT,1514084400,70,39.77,-8.64,48.2,6.93
Frasso Telesino,40,IT,1514085600,52,41.16,14.53,42.8,3.36
Oberelchingen,64,DE,1514085600,93,48.45,10.08,42.8,13.87
Province of Bulacan,40,PH,1514084400,62,15.0,121.08,89.6,8.05
Kisa,44,SE,1514085600,100,57.99,15.63,33.8,10.29
Sembang Ilon,12,ID,1514084400,58,-6.32,107.4,87.8,8.05
Luodian,0,CN,1514086977,32,31.55,113.78,47.2,8.88
Nongpoh,40,IN,1514084400,93,25.9,91.88,66.2,3.4
Prestbury,75,GB,1514085600,93,51.91,-2.04,48.2,9.17
Canfranc,90,ES,1514086200,81,42.72,-0.53,42.8,4.7
Jamieson,0,AU,1514086980,61,-37.3,146.14,72.44,3.02
Nggambel,0,ID,1514086981,93,-6.65,111.5,83.2,7.38
Ardagh,92,IE,1514086981,95,53.67,-7.69,51.56,21.41
Olyka,92,UA,1514086982,95,50.73,25.81,42.34,27.96
Réquista,90,FR,1514084400,100,44.03,2.54,32.0,2.24
Perales de Tajuna,0,ES,1514084400,85,40.23,-3.35,33.8,4.7
Sun Lakes,1,US,1514084280,43,33.21,-111.88,53.6,3.13
Castronuevo de Esgueva,0,ES,1514086983,72,41.68,-4.59,25.42,3.8
Beerburrum,20,AU,1514084400,55,-26.96,152.96,86.0,18.34
Bredenfelde,92,DE,1514086984,94,53.42,13.43,45.53,23.76
Challapalle,0,IN,1514084400,78,16.12,80.93,71.6,5.3
Sukasukur,0,ID,1514086985,76,-7.27,108.16,76.76,2.8
Uithoorn,90,NL,1514085900,93,52.24,4.83,46.4,18.34
Shifang,48,CN,1514084400,76,31.13,104.16,48.2,2.24
Oberhausen,90,DE,1514085600,87,51.47,6.85,48.2,14.99
Pézilla-la-Rivière,0,FR,1514086200,93,42.69,2.77,46.4,8.05
Grossenrade,92,DE,1514085600,93,54.03,9.23,46.4,18.34
Mishan,36,CN,1514086988,82,45.55,131.88,16.06,3.85
Schweigen-Rechtenbach,88,DE,1514086200,87,49.05,7.96,44.6,13.87
DeKalb,1,US,1514085300,85,41.93,-88.75,23.0,5.53
The Colony Mobile Home Park,1,US,1514084100,66,34.16,-119.14,55.4,4.63
Vivian,90,US,1514085300,86,32.87,-93.99,42.8,1.9
Nice,20,FR,1514086200,60,43.7,7.27,42.8,11.41
Cijagra,0,ID,1514086991,76,-7.04,107.78,76.76,2.8
Venta de Baños,0,ES,1514086991,78,41.92,-4.49,25.28,3.4
Caraga,56,PH,1514086992,91,9.0,125.74,80.63,3.36
Anero,0,ES,1514086200,100,43.4,-3.65,41.0,1.12
Rainsville,90,US,1514086500,75,34.49,-85.85,50.0,6.93
Rathdrinagh,75,IE,1514084400,87,53.66,-6.52,50.0,23.04
White Oak,40,US,1514085300,76,39.04,-76.99,51.8,12.41
Altwildungen,75,DE,1514085600,76,51.13,9.13,48.2,9.17
Ali-Berdukovskiy,88,RU,1514086995,89,44.0,41.74,21.68,1.83
Torrijas,36,ES,1514086995,83,40.02,-0.96,22.99,2.24
Havran,0,TR,1514083800,60,39.56,27.1,39.2,13.87
Alumine,8,AR,1514086996,82,-39.24,-70.92,37.12,2.35
Ealing,90,GB,1514085600,93,51.51,-0.31,48.2,11.41
Ugory,90,PL,1514086200,81,51.94,18.63,48.2,29.97
Sea Park,92,ZA,1514086997,100,-30.7,30.49,68.98,9.44
Brantome,90,FR,1514086200,87,45.36,0.65,44.6,3.36
Mount Auburn,1,US,1514085300,72,42.25,-92.09,15.8,3.91
Alcalá del Obispo,90,ES,1514084400,100,42.08,-0.29,30.2,2.8
Krajan Woro,0,ID,1514086999,93,-6.67,111.56,83.2,7.38
Lempzours,90,FR,1514086200,87,45.36,0.82,44.6,3.36
Salzböden,75,DE,1514085600,76,50.68,8.69,48.2,9.17
Ashbourne,75,GB,1514085600,93,53.02,-1.73,50.0,16.11
Vecpils,56,LV,1514085600,93,56.63,21.49,39.2,9.17
Crestline,75,US,1514085900,86,40.79,-82.74,32.0,3.36
Kadisehri,92,TR,1514087002,94,40.0,35.79,27.49,3.51
Tortebesse,75,FR,1514086200,86,45.73,2.65,37.4,2.24
Camlachie,90,CA,1514085300,58,43.04,-82.16,30.2,3.36
Sarny,92,UA,1514087004,94,51.32,26.62,42.61,28.63
Freienhagen,75,DE,1514085600,76,51.41,10.06,48.2,9.17
Abnub,0,EG,1514087004,77,27.27,31.15,51.29,5.3
Bykov,40,RU,1514084400,92,47.32,142.56,14.0,4.63
Geigant,90,DE,1514084400,81,49.33,12.68,44.6,10.29
Shizuishan,0,CN,1514087005,46,39.02,106.36,17.23,3.02
Teningen,90,DE,1514086200,87,48.13,7.81,44.6,4.7
Ebermannstadt,75,DE,1514085600,81,49.78,11.19,44.6,9.17
Bouguenais,90,FR,1514086200,100,47.18,-1.62,48.2,6.93
Mamon,20,TT,1514084400,88,10.47,-61.17,75.2,5.75
Cuzieu,90,FR,1514086200,80,45.82,5.68,41.0,2.24
Burno,8,ID,1514087008,61,-8.04,112.98,81.4,1.23
Rutesheim,75,DE,1514085600,87,48.81,8.95,44.6,4.7
Bricquebec,90,FR,1514086200,93,49.47,-1.63,48.2,11.41
Jinquan,0,CN,1514087009,54,33.15,106.84,36.76,1.57
Dongping,0,CN,1514087009,52,24.74,113.19,59.21,5.59
Rue,48,CH,1514085600,100,46.62,6.82,39.2,3.29
Yushu,56,CN,1514087010,85,44.84,126.53,6.97,7.43
Les deux-Plateaux,0,CI,1514084400,94,5.35,-4.01,71.6,3.36
Hisel,90,US,1514084700,83,37.56,-84.08,37.4,10.29
Hoyleton,1,US,1514085300,82,38.44,-89.27,32.0,6.64
Southwick,76,GB,1514085600,93,50.83,-0.24,46.4,6.93
Tisul,76,RU,1514087013,85,55.76,88.31,16.73,5.86
Heilongjiang Sheng,8,CN,1514087013,56,48.0,128.0,5.71,5.41
Monzelfeld,90,DE,1514085600,100,49.89,7.07,44.6,18.34
Deerwood,75,US,1514085300,77,48.56,-96.59,5.0,6.93
Mayfield,90,GB,1514085600,93,55.87,-3.04,53.6,28.86
Bernie,1,US,1514087700,86,36.67,-89.97,33.8,4.7
Mount Pleasant,90,US,1514085300,86,33.16,-94.97,39.2,6.93
Kade,0,GH,1514087017,91,6.1,-0.84,63.49,2.73
Bol’shoye Alekseyevskoye,90,RU,1514084400,92,55.24,38.22,26.6,15.66
Vadillo de la Guarena,0,ES,1514087018,82,41.28,-5.35,26.41,3.85
Dacice,90,CZ,1514084400,81,49.08,15.44,42.8,19.46
Tidili Mesfioua,0,MA,1514086200,70,31.46,-7.61,44.6,1.12
Tordelrábano,48,ES,1514087019,71,41.22,-2.76,29.78,4.52
Changzhou,0,CN,1514087020,50,31.81,119.97,48.28,21.25
Bojongduren,0,ID,1514087020,78,-7.06,106.82,79.96,4.03
Bergen op Zoom,90,NL,1514085900,93,51.5,4.29,50.0,17.22
Bilar,40,PH,1514084400,70,9.71,124.11,87.8,10.29
Calhoun County,90,US,1514085300,68,42.25,-85.0,28.4,8.05
Monchy-Saint-Éloi,75,FR,1514086200,93,49.29,2.46,48.2,9.17
Scurelle,0,IT,1514085600,80,46.06,11.51,32.0,2.24
Jinshi,0,CN,1514087023,82,29.61,111.87,51.7,2.57
Lakeburn,90,CA,1514084400,100,46.1,-64.68,33.8,5.82
Handa,75,JP,1514084400,61,34.89,136.94,50.0,3.36
Tiflet,0,MA,1514086200,93,33.89,-6.31,42.8,1.12
Champdieu,90,FR,1514086200,93,45.65,4.05,41.0,2.91
Orchard Homes,1,US,1514083980,84,46.86,-114.05,6.8,2.39
Zarate Isla,40,PY,1514084400,88,-25.23,-57.5,73.4,9.17
Borovskoy,0,KZ,1514087026,55,53.8,64.15,-5.46,4.59
Sangrur,48,IN,1514087027,76,30.24,75.84,49.04,2.91
Saronno,0,IT,1514085600,92,45.63,9.04,35.6,3.36
Stara Kornica,90,PL,1514084400,93,52.18,22.94,46.4,20.13
Holdfast Bay,75,AU,1514084400,33,-35.0,138.52,73.4,17.22
Palm River-Clair Mel,1,US,1514085300,100,27.92,-82.38,69.8,5.37
Ciudad Universitaria,40,DO,1514084400,83,18.46,-69.92,75.2,4.7
Lafayette,90,US,1514084100,81,30.22,-92.02,48.2,8.05
Uthai,0,TH,1514084400,54,14.36,100.67,84.2,8.05
Jogighopa,12,IN,1514087030,99,26.23,90.57,60.25,4.25
Wölfershausen,75,DE,1514085600,76,50.88,9.99,48.2,9.17
Drevenack,90,DE,1514085600,87,51.67,6.74,48.2,14.99
Monforte del Cid,75,ES,1514084400,93,38.38,-0.73,48.2,2.24
Milikov,90,CZ,1514086200,87,49.59,18.72,44.6,14.99
Villanueva de la Sierra,8,ES,1514087032,75,40.2,-6.41,27.31,2.8
Udarnyy,80,RU,1514087033,87,54.34,42.86,20.78,12.19
Marinhais,20,PT,1514086200,87,39.05,-8.7,44.6,8.05
Chop,90,UA,1514084400,100,48.43,22.21,33.8,6.71
Garbou,0,NE,1514087034,52,13.27,8.4,59.71,10.11
Borova,90,UA,1514085480,100,50.18,30.1,33.8,15.66
Wharparilla,20,AU,1514087035,46,-36.07,144.63,80.77,11.34
Morozovo,90,RU,1514084400,85,54.77,83.22,12.2,11.18
Dayan,68,CN,1514087036,86,49.24,120.57,0.89,7.27
Inglewood,75,US,1514084280,67,33.96,-118.36,59.0,4.7
Frahier-et-Chatebier,90,FR,1514086200,100,47.66,6.75,41.0,2.84
Cadenet,0,FR,1514086200,92,43.73,5.37,42.8,2.28
Zuerich (Kreis 12) / Saatlen,90,CH,1514085600,86,47.41,8.56,37.4,5.82
Mercer County,75,US,1514085900,69,40.38,-74.88,48.2,13.87
Calvini,36,RO,1514087038,70,45.25,26.29,25.15,5.64
Bodenteich,92,DE,1514085600,87,52.83,10.68,48.2,17.22
Three Bridges,76,GB,1514085600,93,51.12,-0.17,48.2,6.93
Mornico al Serio,0,IT,1514085600,74,45.59,9.81,35.6,6.93
Samfya,20,ZM,1514087041,95,-11.37,29.56,63.71,3.36
Khraicia,75,DZ,1514086200,93,36.68,2.98,44.6,1.12
Wangjiajing,0,CN,1514084400,35,29.63,120.21,55.4,15.66
Pospelova,0,RU,1514087042,68,56.23,66.07,2.11,9.4
Ficarra,20,IT,1514084100,66,38.11,14.83,55.4,6.93
Martin County,1,US,1514084100,77,27.08,-80.42,71.6,3.36
Widdau,88,DE,1514085900,100,50.56,6.3,48.2,11.41
Oak Grove,1,US,1514085360,67,45.34,-93.33,21.2,6.93
Elwood,90,US,1514085300,85,40.59,-99.86,17.6,8.77
Velikaya Sloboda,92,BY,1514087045,92,53.55,26.25,43.91,30.24
